Track_Artist,Track,Artist,Release Date,Release Year,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Stimmung,Tempo,Key,Mode,Energy,Danceability,Beats per Bar,Track-URI,Album,Track-Popularity,Track-Bild,Artist-URI,Follower,Genre,Popularity,Artist-Bild
"yes, and?Ariana Grande","yes, and?",Ariana Grande,1/12/2024,2024,USUM72400048,199,107.5,416813996,22468,101875097,,115105080,2893111,779,5912130,10072539,2382932899,106,79382,114,87,6747701,92,3441709,3255,1419525,1028262,1,,,,,,,,,,,,,,,,
Cheerleader - Felix Jaehn Remix Radio EditOMI,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,5/20/2014,2014,USUS11202574,1318,41,1663491433,49556,9366950,52,1569239627,8709566,21605,7776168,60584088,282669797,267,16437,,142,1215325,42,466323984,730086,,23811147,0,upbeat,118,E,major,high energy,very danceable,4,7vFoFDWqTX0mHzLfrF1Cfy,Me 4 U,80,https://i.scdn.co/image/ab67616d0000b27385ca00029c70d6b5b8372e96,5MouCg6ta7zAxsfMEbc1uh,655900,,67,https://i.scdn.co/image/ab6761610000e5ebb4318429cc3c4a3b72f5f87a
Woah (feat. D3Mstreet)KRYPTO9095,Woah (feat. D3Mstreet),KRYPTO9095,3/29/2019,2019,QZDA41998629,1315,41,92985109,21725,3265269,45,166739538,2648737,10646410,829818450,9273764020,2811433,11,,37,4,54214,3,3098187,8732,123199,2419836,1,upbeat,144,C♯/D♭­,major,average energy,very danceable,4,5lN7UtvhpwEHzifSjKw3z2,Woah (feat. D3Mstreet),49,https://i.scdn.co/image/ab67616d0000b2736cab3dcfbded5c1eb5eb38c1,3IQWn6L1It2U2Eq1IvXiZe,21379,,35,https://i.scdn.co/image/ab6761610000e5ebe9772724e596ca8fc1c9bbe1
Take You DancingJason Derulo,Take You Dancing,Jason Derulo,7/22/2020,2020,USAT22004479,1039,47.1,716319941,98905,32882211,65,460154791,3442896,522107,149900995,1506051452,176273148,145,392495,115,91,3010119,31,111888753,21214,,,0,upbeat,113,D,major,high energy,very danceable,4,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,67,https://i.scdn.co/image/ab67616d0000b273d9ddaea6ccea73f812f8afbc,07YZf4WDAMNwqr4jfgOZ8y,12356661,,78,https://i.scdn.co/image/ab6761610000e5eb62fa38af4bdc7322b2103493
Wrecking BallMiley Cyrus,Wrecking Ball,Miley Cyrus,1/1/2013,2013,USRC11301214,1316,41,930004605,113036,73538856,73,1694450676,11543620,735137,110364036,1460975398,553346151,168,91227,101,99,530866,88,449482152,959495,,10011230,0,,120,,,energy,danceable,,2vwlzO0Qp8kfEtzTsCXfyE,Bangerz (Deluxe Version),78,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,5YGY8feqx7naU7z4HrwZM6,25409291,,83,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32
Stereo Love (TikTok Remix)DJRemixGod,Stereo Love (TikTok Remix),DJRemixGod,4/30/2024,2024,QZYFZ2414978,1322,40.9,348676476,4,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Stuck with U (with Justin Bieber)Ariana Grande,Stuck with U (with Justin Bieber),Ariana Grande,5/8/2020,2020,USUM72009644,1321,40.9,1120501187,116269,56772519,73,433277837,6197761,273464,84906720,561421880,506930449,154,124491,,65,657287,33,70398511,27283,478672,4103756,0,,179,G♯/A♭­,major,average energy,somewhat danceable,3,4HBZA5flZLE435QTztThqH,Stuck with U,78,https://i.scdn.co/image/ab67616d0000b2732babb9dbd8f5146112f1bf86,66CXWjxzNUsdJxJ2JdwvnR,102968880,pop,93,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0
she's all i wanna beTate McRae,she's all i wanna be,Tate McRae,2/4/2022,2022,USRC12103120,1324,40.8,452628341,58658,18026092,71,107628561,1112016,47261,27518167,230696336,3056489157,90,288272,671,21,636104,42,57361268,9352,,2526560,0,,,,,,,,,,,,,,,,
Oh My GodAdele,Oh My God,Adele,11/19/2021,2021,USSM12105973,1327,40.8,562200390,66469,27321505,68,175552661,2085739,53453,28692207,324045421,3501820871,143,203961,150,36,1269793,35,69857344,26946,,3418829,0,,,,,,,,,,,,,,,,
Leave Out All The RestLinkin Park,Leave Out All The Rest,Linkin Park,4/12/2024,2024,USWB12401901,1329,40.8,270590102,4,4,,,,,,,,,,,,,,,,,1782705,0,melancholic,80,C,major,high energy,somewhat danceable,4,0sp00HSXkQyqTa6QqM0O8V,Minutes to Midnight,70,https://i.scdn.co/image/ab67616d0000b2736e996745f2c7b8036abef213,6XyY86QOPPrYVGvF9ch6wz,28435670,nu metal,90,https://i.scdn.co/image/ab6761610000e5ebc7e6bd9e65eab62a53355576
